Command,Symbol,BuySell,Size,Price,Account,OrderType,TimeInForce,DateExpiration,ExecBroker,StopPrice,MinQty,MaxFloor,Memo,ErrorInfo,AppOrderID,AppCxlRplID
NEW,PDGR3,SELL,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00005,null
REPLACE,PDGR3,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00006,00005
REPLACE,PDGR3,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00007,00006
NEW,RSID3,BUY,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00008,null
NEW,RSID3,SELL,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00009,null
NEW,BBDC4,BUY,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00010,null
NEW,PETR4,BUY,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00011,null
NEW,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00012,null
NEW,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00013,null
NEW,PETR3,BUY,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00014,null
NEW,PDGR3,SELL,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00015,null
NEW,PDGR3,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00016,null
NEW,PDGR3,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00017,null
NEW,RSID3,BUY,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00018,null
NEW,RSID3,SELL,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00019,null
NEW,BBDC4,BUY,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00020,null
NEW,PETR4,BUY,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00001,null
NEW,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00002,null
CANCEL,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00003,00002
NEW,PETR3,BUY,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00004,null
NEW,PDGR3,SELL,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00005,null
REPLACE,PDGR3,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00006,00005
REPLACE,PDGR3,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00007,00006
NEW,RSID3,BUY,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00008,null
NEW,RSID3,SELL,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00009,null
NEW,BBDC4,BUY,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00010,null
NEW,PETR4,BUY,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00011,null
NEW,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00012,null
NEW,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00013,null
NEW,PETR3,BUY,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00014,null
NEW,PDGR3,SELL,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00015,null
NEW,PDGR3,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00016,null
NEW,PDGR3,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00017,null
NEW,RSID3,BUY,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00018,null
NEW,RSID3,SELL,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00019,null
NEW,BBDC4,BUY,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00020,null
NEW,GOLL4,BUY,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00021,null
NEW,TAMM4,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00022,null
NEW,VALE3,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00023,null
NEW,VALE5,SELL,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00024,null
NEW,ELET3,BUY,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00025,null
NEW,TNLP4,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00026,null
NEW,PETR4,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00027,null
NEW,VALE5,SELL,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00028,null
NEW,VALE5,BUY,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00029,null
NEW,PETR3,BUY,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00030,null
NEW,PDGR3,BUY,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00031,null
NEW,PDGR3,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00032,null
NEW,PDGR3,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00033,null
NEW,RSID3,BUY,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00034,null
NEW,RSID3,BUY,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00035,null
NEW,BBDC4,BUY,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00036,null
NEW,PETR4,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00037,null
NEW,VALE5,SELL,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00038,null
NEW,VALE5,BUY,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00039,null
NEW,PETR3,SELL,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00040,null
NEW,PDGR3,SELL,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00041,null
NEW,PDGR3,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00042,null
NEW,PDGR3,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00043,null
NEW,RSID3,SELL,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00044,null
NEW,RSID3,BUY,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00045,null
NEW,BBDC4,BUY,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00046,null
NEW,GOLL4,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00047,null
NEW,TAMM4,SELL,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00048,null
NEW,VALE3,BUY,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00049,null
NEW,VALE5,SELL,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00050,null
NEW,ELET3,SELL,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00051,null
NEW,TNLP4,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00052,null
NEW,PETR4,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00053,null
NEW,VALE5,SELL,1000.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00054,null
NEW,VALE5,BUY,500.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00055,null
NEW,PETR3,BUY,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00056,null
NEW,PDGR3,BUY,100.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00057,null
NEW,PDGR3,SELL,300.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00058,null
NEW,PDGR3,SELL,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00059,null
NEW,RSID3,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00060,null
NEW,RSID3,SELL,100.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00061,null
NEW,BBDC4,BUY,4500.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00062,null
NEW,PETR4,BUY,1100.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00063,null
NEW,VALE5,SELL,1000.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00064,null
NEW,VALE5,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00065,null
NEW,PETR3,BUY,500.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00066,null
NEW,PDGR3,SELL,100.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00067,null
NEW,PDGR3,SELL,300.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00068,null
NEW,PDGR3,SELL,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00069,null
NEW,RSID3,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00070,null
NEW,RSID3,BUY,1000.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00071,null
NEW,BBDC4,SELL,500.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00072,null
NEW,GOLL4,SELL,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00073,null
NEW,TAMM4,BUY,100.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00074,null
NEW,VALE3,BUY,300.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00075,null
NEW,VALE5,SELL,500.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00076,null
NEW,ELET3,SELL,500.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00077,null
NEW,TNLP4,BUY,100.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00078,null
NEW,PETR4,SELL,4500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00079,null
NEW,VALE5,SELL,1100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00080,null
NEW,VALE5,SELL,1000.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00081,null
NEW,PETR3,BUY,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00082,null
NEW,PDGR3,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00083,null
NEW,PDGR3,BUY,100.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00084,null
NEW,PDGR3,BUY,300.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00085,null
NEW,RSID3,BUY,500.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00086,null
NEW,RSID3,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00087,null
NEW,BBDC4,SELL,100.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00088,null
NEW,PETR4,BUY,4500.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00089,null
NEW,VALE5,SELL,1100.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00090,null
NEW,VALE5,SELL,1000.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00091,null
NEW,PETR3,SELL,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00092,null
NEW,PDGR3,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00093,null
NEW,PDGR3,SELL,100.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00094,null
NEW,PDGR3,BUY,300.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00095,null
NEW,RSID3,BUY,500.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00096,null
NEW,RSID3,BUY,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00097,null
NEW,BBDC4,SELL,100.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00098,null
NEW,GOLL4,SELL,4500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00099,null
NEW,TAMM4,BUY,1100.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00100,null
NEW,VALE3,SELL,1000.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00101,null
NEW,VALE5,SELL,500.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00102,null
NEW,ELET3,SELL,500.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00103,null
NEW,TNLP4,BUY,100.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00104,null
NEW,PETR4,SELL,300.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00105,null
NEW,VALE5,BUY,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00106,null
NEW,VALE5,BUY,1000.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00107,null
NEW,PETR3,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00108,null
NEW,PDGR3,SELL,500.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00109,null
NEW,PDGR3,SELL,100.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00110,null
NEW,PDGR3,BUY,300.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00111,null
NEW,RSID3,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00112,null
NEW,RSID3,BUY,1000.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00113,null
NEW,BBDC4,BUY,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00114,null
NEW,PETR4,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00115,null
NEW,VALE5,SELL,100.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00116,null
NEW,VALE5,SELL,300.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00117,null
NEW,PETR3,BUY,500.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00118,null
NEW,PDGR3,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00119,null
NEW,PDGR3,SELL,100.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00120,null
NEW,PDGR3,SELL,4500.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00121,null
NEW,RSID3,BUY,1100.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00122,null
NEW,RSID3,SELL,1000.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00123,null
NEW,BBDC4,BUY,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00124,null
NEW,GOLL4,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00125,null
NEW,TAMM4,SELL,100.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00126,null
NEW,VALE3,SELL,300.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00127,null
NEW,VALE5,SELL,500.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00128,null
NEW,ELET3,BUY,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00129,null
NEW,PETR4,BUY,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00001,null
NEW,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00002,null
CANCEL,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00003,00002
NEW,PETR3,BUY,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00004,null
NEW,PDGR3,SELL,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00005,null
REPLACE,PDGR3,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00006,00005
REPLACE,PDGR3,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00007,00006
NEW,RSID3,BUY,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00008,null
NEW,RSID3,SELL,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00009,null
NEW,BBDC4,BUY,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00010,null
NEW,PETR4,BUY,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00011,null
NEW,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00012,null
NEW,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00013,null
NEW,PETR3,BUY,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00014,null
NEW,PDGR3,SELL,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00015,null
NEW,PDGR3,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00016,null
NEW,PDGR3,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00017,null
NEW,RSID3,BUY,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00018,null
NEW,RSID3,SELL,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00019,null
NEW,BBDC4,BUY,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00020,null
NEW,GOLL4,BUY,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00021,null
NEW,TAMM4,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00022,null
NEW,VALE3,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00023,null
NEW,VALE5,SELL,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00024,null
NEW,ELET3,BUY,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00025,null
NEW,TNLP4,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00026,null
NEW,PETR4,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00027,null
NEW,VALE5,SELL,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00028,null
NEW,VALE5,BUY,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00029,null
NEW,PETR3,BUY,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00030,null
NEW,PDGR3,BUY,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00031,null
NEW,PDGR3,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00032,null
NEW,PDGR3,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00033,null
NEW,RSID3,BUY,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00034,null
NEW,RSID3,BUY,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00035,null
NEW,BBDC4,BUY,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00036,null
NEW,PETR4,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00037,null
NEW,VALE5,SELL,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00038,null
NEW,VALE5,BUY,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00039,null
NEW,PETR3,SELL,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00040,null
NEW,PDGR3,SELL,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00041,null
NEW,PDGR3,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00042,null
NEW,PDGR3,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00043,null
NEW,RSID3,SELL,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00044,null
NEW,RSID3,BUY,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00045,null
NEW,BBDC4,BUY,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00046,null
NEW,GOLL4,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00047,null
NEW,TAMM4,SELL,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00048,null
NEW,VALE3,BUY,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00049,null
NEW,VALE5,SELL,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00050,null
NEW,ELET3,SELL,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00051,null
NEW,TNLP4,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00052,null
NEW,PETR4,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00053,null
NEW,VALE5,SELL,1000.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00054,null
NEW,VALE5,BUY,500.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00055,null
NEW,PETR3,BUY,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00056,null
NEW,PDGR3,BUY,100.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00057,null
NEW,PDGR3,SELL,300.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00058,null
NEW,PDGR3,SELL,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00059,null
NEW,RSID3,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00060,null
NEW,RSID3,SELL,100.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00061,null
NEW,BBDC4,BUY,4500.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00062,null
NEW,PETR4,BUY,1100.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00063,null
NEW,VALE5,SELL,1000.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00064,null
NEW,VALE5,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00065,null
NEW,PETR3,BUY,500.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00066,null
NEW,PDGR3,SELL,100.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00067,null
NEW,PDGR3,SELL,300.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00068,null
NEW,PDGR3,SELL,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00069,null
NEW,RSID3,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00070,null
NEW,RSID3,BUY,1000.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00071,null
NEW,BBDC4,SELL,500.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00072,null
NEW,GOLL4,SELL,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00073,null
NEW,TAMM4,BUY,100.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00074,null
NEW,VALE3,BUY,300.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00075,null
NEW,VALE5,SELL,500.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00076,null
NEW,ELET3,SELL,500.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00077,null
NEW,TNLP4,BUY,100.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00078,null
NEW,PETR4,SELL,4500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00079,null
NEW,VALE5,SELL,1100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00080,null
NEW,VALE5,SELL,1000.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00081,null
NEW,PETR3,BUY,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00082,null
NEW,PDGR3,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00083,null
NEW,PDGR3,BUY,100.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00084,null
NEW,PDGR3,BUY,300.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00085,null
NEW,RSID3,BUY,500.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00086,null
NEW,RSID3,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00087,null
NEW,BBDC4,SELL,100.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00088,null
NEW,PETR4,BUY,4500.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00089,null
NEW,VALE5,SELL,1100.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00090,null
NEW,VALE5,SELL,1000.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00091,null
NEW,PETR3,SELL,500.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00092,null
NEW,PDGR3,BUY,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00093,null
