MsgType;Account;ClOrdID;HandlInst;OrderID;OrderQty;OrdType;OrigClOrdID;Price;Side;Symbol;TimeInForce;TransactTime;ExecBroker;StopPx;MinQty;MaxFloor;ExpireDate;Memo;BeginString;BodyLength;MsgSeqNum;SenderCompID;SenderSubID;TargetCompID;TargetSubID;SendingTime;CheckSum
F;ABCDE;00003;1;null;500.0;2;00002;34.23;2;VALE5;0;2012-04-13 18:20:44.319-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.320-0300;null
D;012345;00004;1;null;100.0;2;null;21.34;1;PETR3;0;2012-04-13 18:20:44.320-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.320-0300;null
D;012346;00005;1;null;300.0;2;null;32.12;2;PDGR3;0;2012-04-13 18:20:44.320-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.320-0300;null
G;012347;00006;1;null;500.0;2;00005;32.12;2;PDGR3;0;2012-04-13 18:20:44.321-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.321-0300;null
G;012348;00007;1;null;500.0;2;00006;32.15;2;PDGR3;0;2012-04-13 18:20:44.321-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.322-0300;null
D;012349;00008;1;null;100.0;2;null;12.33;1;RSID3;0;2012-04-13 18:20:44.322-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.322-0300;null
D;012350;00009;1;null;4500.0;2;null;12.4;2;RSID3;0;2012-04-13 18:20:44.322-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.323-0300;null
D;012351;00010;1;null;1100.0;2;null;23.45;1;BBDC4;0;2012-04-13 18:20:44.323-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.323-0300;null
D;012345;00011;1;null;1000.0;2;null;25.0;1;PETR4;0;2012-04-13 18:20:44.323-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.324-0300;null
D;ABCDE;00012;1;null;500.0;2;null;34.23;2;VALE5;0;2012-04-13 18:20:44.324-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.324-0300;null
D;ABCDE;00013;1;null;500.0;2;null;34.23;2;VALE5;0;2012-04-13 18:20:44.324-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.325-0300;null
D;012345;00014;1;null;100.0;2;null;21.34;1;PETR3;0;2012-04-13 18:20:44.325-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.325-0300;null
D;012346;00015;1;null;300.0;2;null;32.12;2;PDGR3;0;2012-04-13 18:20:44.325-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.326-0300;null
D;012347;00016;1;null;500.0;2;null;32.12;2;PDGR3;0;2012-04-13 18:20:44.326-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.326-0300;null
D;012348;00017;1;null;500.0;2;null;32.15;2;PDGR3;0;2012-04-13 18:20:44.326-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.327-0300;null
D;012349;00018;1;null;100.0;2;null;12.33;1;RSID3;0;2012-04-13 18:20:44.327-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.327-0300;null
D;012350;00019;1;null;4500.0;2;null;12.4;2;RSID3;0;2012-04-13 18:20:44.327-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.328-0300;null
D;012351;00020;1;null;1100.0;2;null;23.45;1;BBDC4;0;2012-04-13 18:20:44.328-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.328-0300;null
D;012345;00021;1;null;1000.0;2;null;25.0;1;GOLL4;0;2012-04-13 18:20:44.329-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.329-0300;null
D;ABCDE;00022;1;null;500.0;2;null;34.23;1;TAMM4;0;2012-04-13 18:20:44.332-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.333-0300;null
D;ABCDE;00023;1;null;500.0;2;null;34.23;2;VALE3;0;2012-04-13 18:20:44.333-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.333-0300;null
D;012345;00024;1;null;100.0;2;null;21.34;2;VALE5;0;2012-04-13 18:20:44.334-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.334-0300;null
D;012346;00025;1;null;300.0;2;null;32.12;1;ELET3;0;2012-04-13 18:20:44.334-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.334-0300;null
D;012347;00026;1;null;500.0;2;null;32.12;2;TNLP4;0;2012-04-13 18:20:44.335-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.335-0300;null
D;012348;00027;1;null;500.0;2;null;32.15;2;PETR4;0;2012-04-13 18:20:44.335-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.344-0300;null
D;012349;00028;1;null;100.0;2;null;12.33;2;VALE5;0;2012-04-13 18:20:44.345-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.345-0300;null
D;012350;00029;1;null;4500.0;2;null;12.4;1;VALE5;0;2012-04-13 18:20:44.345-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.345-0300;null
D;012351;00030;1;null;1100.0;2;null;23.45;1;PETR3;0;2012-04-13 18:20:44.346-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.346-0300;null
D;012345;00031;1;null;1000.0;2;null;25.0;1;PDGR3;0;2012-04-13 18:20:44.346-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.346-0300;null
D;ABCDE;00032;1;null;500.0;2;null;34.23;2;PDGR3;0;2012-04-13 18:20:44.347-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.347-0300;null
D;ABCDE;00033;1;null;500.0;2;null;34.23;2;PDGR3;0;2012-04-13 18:20:44.347-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.347-0300;null
D;012345;00034;1;null;100.0;2;null;21.34;1;RSID3;0;2012-04-13 18:20:44.348-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.348-0300;null
D;012346;00035;1;null;300.0;2;null;32.12;1;RSID3;0;2012-04-13 18:20:44.348-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.348-0300;null
D;012347;00036;1;null;500.0;2;null;32.12;1;BBDC4;0;2012-04-13 18:20:44.349-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.349-0300;null
D;012348;00037;1;null;500.0;2;null;32.15;2;PETR4;0;2012-04-13 18:20:44.349-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.349-0300;null
D;012349;00038;1;null;100.0;2;null;12.33;2;VALE5;0;2012-04-13 18:20:44.350-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.350-0300;null
D;012350;00039;1;null;4500.0;2;null;12.4;1;VALE5;0;2012-04-13 18:20:44.350-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.350-0300;null
D;012351;00040;1;null;1100.0;2;null;23.45;2;PETR3;0;2012-04-13 18:20:44.351-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.351-0300;null
D;012345;00041;1;null;1000.0;2;null;25.0;2;PDGR3;0;2012-04-13 18:20:44.351-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.351-0300;null
D;ABCDE;00042;1;null;500.0;2;null;34.23;2;PDGR3;0;2012-04-13 18:20:44.352-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.352-0300;null
D;ABCDE;00043;1;null;500.0;2;null;34.23;1;PDGR3;0;2012-04-13 18:20:44.352-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.352-0300;null
D;012345;00044;1;null;100.0;2;null;21.34;2;RSID3;0;2012-04-13 18:20:44.355-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.355-0300;null
D;012346;00045;1;null;300.0;2;null;32.12;1;RSID3;0;2012-04-13 18:20:44.356-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.356-0300;null
D;012347;00046;1;null;500.0;2;null;32.12;1;BBDC4;0;2012-04-13 18:20:44.356-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.356-0300;null
D;012348;00047;1;null;500.0;2;null;32.15;2;GOLL4;0;2012-04-13 18:20:44.357-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.357-0300;null
D;012349;00048;1;null;100.0;2;null;12.33;2;TAMM4;0;2012-04-13 18:20:44.357-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.357-0300;null
D;012350;00049;1;null;4500.0;2;null;12.4;1;VALE3;0;2012-04-13 18:20:44.358-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.358-0300;null
D;012351;00050;1;null;1100.0;2;null;23.45;2;VALE5;0;2012-04-13 18:20:44.358-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.359-0300;null
D;012345;00051;1;null;1000.0;2;null;25.0;2;ELET3;0;2012-04-13 18:20:44.359-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.362-0300;null
D;ABCDE;00052;1;null;500.0;2;null;34.23;2;TNLP4;0;2012-04-13 18:20:44.363-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.363-0300;null
D;ABCDE;00053;1;null;500.0;2;null;34.23;1;PETR4;0;2012-04-13 18:20:44.363-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.363-0300;null
D;012345;00054;1;null;1000.0;2;null;21.34;2;VALE5;0;2012-04-13 18:20:44.365-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.365-0300;null
D;012346;00055;1;null;500.0;2;null;32.12;1;VALE5;0;2012-04-13 18:20:44.365-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.368-0300;null
D;012347;00056;1;null;500.0;2;null;32.12;1;PETR3;0;2012-04-13 18:20:44.368-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.368-0300;null
D;012348;00057;1;null;100.0;2;null;32.15;1;PDGR3;0;2012-04-13 18:20:44.369-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.369-0300;null
D;012349;00058;1;null;300.0;2;null;12.33;2;PDGR3;0;2012-04-13 18:20:44.369-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.369-0300;null
D;012345;00059;1;null;500.0;2;null;25.0;2;PDGR3;0;2012-04-13 18:20:44.370-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.370-0300;null
D;ABCDE;00060;1;null;500.0;2;null;34.23;1;RSID3;0;2012-04-13 18:20:44.370-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.370-0300;null
D;ABCDE;00061;1;null;100.0;2;null;34.23;2;RSID3;0;2012-04-13 18:20:44.370-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.371-0300;null
D;012345;00062;1;null;4500.0;2;null;21.34;1;BBDC4;0;2012-04-13 18:20:44.371-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.371-0300;null
D;012346;00063;1;null;1100.0;2;null;32.12;1;PETR4;0;2012-04-13 18:20:44.371-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.372-0300;null
D;012347;00064;1;null;1000.0;2;null;32.12;2;VALE5;0;2012-04-13 18:20:44.372-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.372-0300;null
D;012348;00065;1;null;500.0;2;null;32.15;2;VALE5;0;2012-04-13 18:20:44.372-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.373-0300;null
D;012349;00066;1;null;500.0;2;null;12.33;1;PETR3;0;2012-04-13 18:20:44.373-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.373-0300;null
D;012350;00067;1;null;100.0;2;null;12.4;2;PDGR3;0;2012-04-13 18:20:44.373-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.379-0300;null
D;012351;00068;1;null;300.0;2;null;23.45;2;PDGR3;0;2012-04-13 18:20:44.382-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.382-0300;null
D;012345;00069;1;null;500.0;2;null;25.0;2;PDGR3;0;2012-04-13 18:20:44.382-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.382-0300;null
D;ABCDE;00070;1;null;500.0;2;null;34.23;1;RSID3;0;2012-04-13 18:20:44.383-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.383-0300;null
D;ABCDE;00071;1;null;1000.0;2;null;34.23;1;RSID3;0;2012-04-13 18:20:44.383-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.383-0300;null
D;012345;00072;1;null;500.0;2;null;21.34;2;BBDC4;0;2012-04-13 18:20:44.384-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.384-0300;null
D;012345;00073;1;null;500.0;2;null;25.0;2;GOLL4;0;2012-04-13 18:20:44.384-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.385-0300;null
D;ABCDE;00074;1;null;100.0;2;null;34.23;1;TAMM4;0;2012-04-13 18:20:44.385-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.385-0300;null
D;ABCDE;00075;1;null;300.0;2;null;34.23;1;VALE3;0;2012-04-13 18:20:44.385-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.386-0300;null
D;012345;00076;1;null;500.0;2;null;21.34;2;VALE5;0;2012-04-13 18:20:44.386-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.386-0300;null
D;012346;00077;1;null;500.0;2;null;32.12;2;ELET3;0;2012-04-13 18:20:44.386-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.387-0300;null
D;012347;00078;1;null;100.0;2;null;32.12;1;TNLP4;0;2012-04-13 18:20:44.387-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.387-0300;null
D;012348;00079;1;null;4500.0;2;null;32.15;2;PETR4;0;2012-04-13 18:20:44.388-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.388-0300;null
D;012349;00080;1;null;1100.0;2;null;12.33;2;VALE5;0;2012-04-13 18:20:44.388-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.389-0300;null
D;012350;00081;1;null;1000.0;2;null;12.4;2;VALE5;0;2012-04-13 18:20:44.389-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.389-0300;null
